genre,numItems,AllHoursViewed
Action,2782,25294800000
Adventure,1877,19308900000
Comedy,4891,30976700000
Crime,2116,19611800000
Drama,6244,50391000000
Romance,2015,13454100000
Mystery,1071,8973100000
Sci-Fi,447,3401200000
Thriller,1514,9765500000
Fantasy,770,6094000000
Reality-TV,280,3010900000
Biography,702,3081400000
Family,888,6840500000
Musical,103,402000000
Horror,894,4916900000
Animation,1434,14206900000
Documentary,976,3057600000
Music,360,1157800000
History,499,2437800000
War,164,529600000
Sport,277,1209700000
Short,297,2111900000
Game-Show,87,848400000
News,13,48700000
Western,59,252800000
Talk-Show,60,82200000
Film-Noir,2,3700000
